,id,long,lat,hex_long,hex_lat
90,-109.9823 37.62816,-109.9823,37.62816,-109.98502941176488,37.62528647058815
91,-109.9803 37.6139,-109.9803,37.6139,-109.9826382352943,37.6120235294117
92,-109.9799 37.62868,-109.9799,37.62868,-109.98024705882372,37.62907588235285
93,-109.9786 37.60308,-109.9786,37.60308,-109.98024705882372,37.60254999999995
94,-109.9786 37.63027,-109.9786,37.63027,-109.97785588235314,37.6309705882352
95,-109.9782 37.62921,-109.9782,37.62921,-109.9826382352943,37.6309705882352
96,-109.9775 37.63344,-109.9775,37.63344,-109.97546470588256,37.63286529411755
97,-109.9762 37.62789,-109.9762,37.62789,-109.97785588235314,37.6271811764705
98,-109.9758 37.59912,-109.9758,37.59912,-109.97546470588256,37.59876058823525
99,-109.9758 37.60862,-109.9758,37.60862,-109.97785588235314,37.608234117647
100,-109.9758 37.62684,-109.9758,37.62684,-109.97546470588256,37.62528647058815
101,-109.9734 37.61522,-109.9734,37.61522,-109.97546470588256,37.61391823529405
102,-109.9731 37.6308,-109.9731,37.6308,-109.97546470588256,37.62907588235285
103,-109.9714 37.63476,-109.9714,37.63476,-109.9706823529414,37.63286529411755
104,-109.9693 37.62631,-109.9693,37.62631,-109.9706823529414,37.62528647058815
105,-109.969 37.61284,-109.969,37.61284,-109.96829117647081,37.6120235294117
106,-109.9679 37.61654,-109.9679,37.61654,-109.96829117647081,37.6158129411764
107,-109.9679 37.62974,-109.9679,37.62974,-109.96829117647081,37.6309705882352
108,-109.9673 37.62868,-109.9673,37.62868,-109.96829117647081,37.6271811764705
109,-109.9669 37.62446,-109.9669,37.62446,-109.9706823529414,37.62149705882345
110,-109.9662 37.60783,-109.9662,37.60783,-109.96829117647081,37.608234117647
111,-109.9662 37.63159,-109.9662,37.63159,-109.9706823529414,37.62907588235285
112,-109.9659 37.62525,-109.9659,37.62525,-109.96829117647081,37.6233917647058
